,index,,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,827,1,0.0,0.1,0.01,0.98,0.05,0.05,0.15,0.22,0.13,1.0,0.02,1.0,0.4,0.2,0.08,0.76,0.79,0.14,1.0,0.44,0.63,0.61,0.34,0.17,0.27,0.0,0.39,0.01,0.13,0.09,0.14,0.56,0.19,0.22,0.34,0.34,0.2,0.68,0.72,0.3,0.55,0.64,0.06,0.54,0.55,0.66,0.69,0.37,0.49,0.0,0.06,0.01,0.15,0.2,0.2,0.21,0.08,0.09,0.09,0.08,0.89,0.06,0.02,0.03,0.12,0.11,0.2,0.61,0.06,0.7,0.0,0.12,0.0,0.62,0.01,0.18,0.67,0.13,0.0,0.27,0.3,0.33,0.42,0.43,0.54,0.44,0.44,0.32,0.39,0.0,0.01,0.22,0.05,0.5,0.48,0.31,0.0738211703333841,0.23986345957969768,0.8093261958721494,0.3484455966817007,0.1717445221048868,0.2739575622793402,0.5089884291366971,0.06807236997358325,0.804313639479355,0.5115837749797275,0.40768401119530956,0.14643197498498947,0.32810642293245296,0.37212810205968416,0.04865815670228142,0.7103845674817955,0.4582341783910952,0.01,0.21,0.01,0.3245667507791419,0.14046575927429844,0.6788622318122837,0.5243076039842938,0.0,0.05411842209930358,0.26
1,654,1,0.01,0.32,0.01,0.99,0.03,0.01,0.31,0.44,0.29,0.56,0.0,0.0,0.23,0.43,0.28,0.55,0.61,0.53,0.43,0.25,0.27,0.26,0.32,0.11,0.15,0.0,0.33,0.02,0.31,0.29,0.38,0.3,0.38,0.45,0.31,0.36,0.41,0.35,0.64,0.44,0.55,0.61,0.37,0.53,0.59,0.6,0.55,0.46,0.49,0.01,0.16,0.0,0.17,0.15,0.23,0.19,0.03,0.02,0.03,0.03,0.93,0.02,0.12,0.1,0.3,0.41,0.22,0.47,0.06,0.54,0.5,0.03,0.72,0.43,0.32,0.41,0.0,0.44,0.58,0.23,0.21,0.21,0.31,0.32,0.34,0.31,0.6,0.59,0.67,0.02,0.0,0.07,0.7,0.52,0.77,0.69,0.13329796888137455,0.058193887919756,0.9648544526196653,0.10026937480840774,0.03454928694991708,0.35078397400644423,0.43817685311937643,0.2685737017596451,0.6611729810653947,0.846030671737892,0.3650770383994817,0.05172046958673888,0.1390261819915134,0.08031568544429829,0.03724424088606262,0.3565580469255095,0.3389265465954067,0.02,0.2,0.03,0.040528053887429874,0.10789102437598846,0.6950126530583685,0.2028083056144307,0.0,0.13498019839908568,0.06
2,268,1,0.0,0.62,0.03,0.95,0.08,0.01,1.0,1.0,1.0,0.37,0.0,0.0,0.1,0.48,1.0,0.58,0.49,0.31,0.18,0.21,0.13,0.12,0.05,0.0,0.28,0.12,0.16,0.02,0.72,0.31,0.27,0.42,0.34,0.39,0.24,0.7,0.34,0.43,0.18,0.98,0.19,0.2,0.39,0.64,0.7,0.55,0.65,0.87,1.0,0.0,0.12,0.0,0.96,1.0,0.93,0.84,0.1,0.09,0.07,0.06,0.96,0.05,0.18,0.14,0.29,0.4,0.22,0.46,0.05,0.57,0.0,0.01,0.75,0.41,0.09,0.47,0.52,0.2,0.7,0.07,0.07,0.08,0.12,0.15,0.14,0.12,0.88,0.23,0.28,0.0,0.0,0.04,0.61,0.26,0.21,0.21,0.07841266710234562,0.09051062821162847,1.047860533661909,0.31387627114992633,0.10588622684634182,0.30524684910626143,0.20929907956780097,0.08966990113949388,0.46593902265126597,0.5438954742700901,0.3725741709414565,0.1249797173301093,0.11467165524446943,0.046149471456648966,0.1638678787766789,0.4710723337370713,0.3731979403558644,0.01,0.2,0.0,0.2509179819107983,0.056827085517414014,0.7662982704116104,0.15802846391478576,0.0,0.2204965867766895,0.05
3,1599,1,0.01,0.66,0.03,0.96,0.06,0.02,0.64,0.61,0.48,0.23,0.0,0.17,0.53,0.8,0.3,0.45,0.32,0.26,0.36,0.49,0.37,0.35,0.52,0.26,0.52,0.27,0.48,0.01,0.13,0.17,0.27,0.35,0.29,0.68,0.56,0.5,0.36,0.43,0.37,0.44,0.35,0.38,0.55,0.73,0.77,0.8,0.77,0.41,0.5,0.0,0.11,0.0,0.2,0.17,0.16,0.16,0.05,0.04,0.03,0.03,0.91,0.02,0.2,0.21,0.58,0.61,0.41,0.78,0.06,0.51,0.5,0.01,0.85,0.74,0.07,0.67,0.6,0.04,0.33,0.37,0.35,0.32,0.24,0.43,0.54,0.47,0.28,0.54,0.43,0.0,0.0,0.11,0.75,0.6,0.53,0.7,0.15195131704132114,0.3342486308340827,0.8752150843285835,0.21046785348537841,0.015378780923595044,0.3745485875864899,0.435572937021143,0.3282658670569176,0.6149367136128179,0.6588866253514674,0.10721222251541994,0.06222707438495157,0.19811606244169974,0.2996955407683334,0.13541392348836506,0.43635283192594276,0.09677292261658649,0.08,0.04,0.16,0.3106326602800045,0.10249479387184703,0.8066794289116737,0.17747144228758793,0.0,0.24458050322506636,0.08
4,1591,1,0.01,0.54,0.85,0.3,0.08,0.01,0.52,0.57,0.37,0.17,0.03,1.0,0.42,0.82,0.21,0.46,0.26,0.19,0.38,0.39,0.34,0.37,0.36,0.0,0.22,0.02,0.4,0.01,0.13,0.12,0.24,0.38,0.3,0.71,0.48,0.38,0.38,0.49,0.42,0.42,0.55,0.51,0.6,0.64,0.63,0.83,0.59,0.82,0.85,0.01,0.31,0.0,0.33,0.36,0.48,0.41,0.05,0.04,0.05,0.04,0.93,0.06,0.33,0.33,0.59,0.71,0.37,0.66,0.06,0.27,0.5,0.02,0.81,0.59,0.02,0.76,0.63,0.05,0.11,0.14,0.12,0.1,0.46,0.42,0.44,0.44,0.37,0.32,0.11,0.0,0.0,0.06,0.64,0.61,0.74,0.72,0.1415735477945303,0.24384590200010045,0.7964400706128211,0.22605739887906623,0.0904810387299836,0.2463321154202468,0.5242139084838827,0.14937156162111787,0.7940706802057762,0.5486379274968454,0.45412056855499816,0.01164823285026506,0.008454232154645601,0.22833291785357554,0.16680517193635955,0.6714221567764704,0.08097454792113082,0.02,0.25,0.21,0.05621329419160435,0.10773534458441689,0.5281922062936744,0.7868693856165987,0.0,0.1146912347774298,0.13
5,287,1,0.0,0.69,0.0,0.98,0.07,0.01,0.47,0.34,0.23,0.26,0.0,0.17,0.86,0.75,0.31,0.81,0.27,0.0,0.42,0.8,0.71,0.69,0.57,0.12,0.64,1.0,0.87,0.0,0.04,0.16,0.15,0.7,0.2,0.7,0.35,0.48,0.1,0.77,0.16,0.29,0.12,0.14,0.62,0.97,0.98,0.96,0.94,0.74,0.74,0.0,0.01,0.0,0.0,0.1,0.14,0.12,0.0,0.03,0.03,0.03,0.79,0.01,0.2,0.24,0.72,0.71,0.38,0.97,0.01,0.09,0.5,0.01,0.87,0.96,0.0,0.64,0.77,0.0,0.0,0.49,0.52,0.54,0.52,0.77,0.91,0.81,0.48,0.57,0.33,0.0,0.0,0.12,0.46,0.69,0.72,0.58,0.18950851414656072,0.0865134190201316,0.9559170404073256,0.22394743231511113,0.2534921389942098,0.3214593696952076,0.166189341786289,0.3375445640502225,0.4728775662936713,0.5817797929078856,0.2158440992885511,0.24284188291919898,0.3171427620479209,0.2842262775860368,0.1267819356151345,0.6931199794429314,0.48388176572702707,0.09,0.03,0.02,0.2864662521496029,0.0307791059295051,0.5297765990019396,0.31650400966892633,0.0,0.1665770630741551,0.01
6,1991,1,0.16,0.37,0.25,0.69,0.04,0.25,0.35,0.5,0.31,0.54,0.17,1.0,0.31,0.47,0.17,0.45,0.58,0.48,0.57,0.35,0.31,0.34,0.25,0.19,0.28,0.22,0.28,0.12,0.31,0.52,0.58,0.21,0.5,0.46,0.63,0.4,0.54,0.32,0.5,0.53,0.5,0.52,0.47,0.42,0.42,0.47,0.47,0.38,0.46,0.13,0.54,0.06,0.12,0.17,0.24,0.26,0.07,0.09,0.11,0.12,0.6,0.28,0.26,0.22,0.39,0.45,0.37,0.38,0.15,0.66,0.0,0.21,0.65,0.37,0.53,0.45,0.29,0.31,0.29,0.33,0.32,0.29,0.28,0.34,0.39,0.37,0.52,0.58,0.53,0.06,0.02,0.25,0.68,0.61,0.79,0.76,0.06,0.3,0.93,0.36,0.04,0.17,0.19,0.3,0.97,0.7,0.15,0.34,0.0,0.34,0.1,0.36,0.25,0.08,0.32,0.18,0.08,0.06,0.78,0.0,0.91,0.28,0.23
7,573,1,0.03,0.66,0.13,0.73,0.61,0.07,1.0,1.0,1.0,0.21,0.05,1.0,0.1,0.64,0.23,0.61,0.29,0.25,0.32,0.25,0.14,0.16,0.17,0.09,0.1,0.1,0.17,0.08,1.0,0.16,0.21,0.82,0.28,0.21,0.08,1.0,0.12,0.67,0.15,1.0,0.27,0.22,0.29,0.32,0.37,0.53,0.21,0.36,0.46,0.01,0.28,0.02,0.79,0.78,0.78,0.76,0.64,0.55,0.5,0.45,0.71,0.05,0.2,0.21,0.27,0.32,0.31,0.08,0.12,0.63,0.0,0.02,0.84,0.1,0.03,0.45,0.0,0.26,0.06,0.21,0.21,0.23,0.37,0.39,0.52,0.37,1.0,0.51,0.51,0.01,0.0,0.34,0.48,0.02,0.0,0.0,0.04259598925863251,0.2485164546353091,0.9559794449950874,0.3478484656192993,0.03900774647169679,0.33586669952704407,0.34032176684408033,0.2341463419940399,0.9117765652529337,0.599719386375069,0.12643408941693532,0.2996544889923931,0.22988744242447615,0.29623340815781984,0.05210105955935371,0.6534527340185586,0.12246856285734808,0.01,0.45,0.34,0.01045026667778681,0.0436110423394537,0.8992417711103786,0.7486388749811244,0.0,0.08964893279911486,0.15
8,1961,1,0.07,0.4,0.72,0.39,0.13,0.02,0.41,0.48,0.3,0.38,0.09,1.0,0.4,0.63,0.2,0.57,0.41,0.23,0.39,0.44,0.45,0.54,0.35,0.16,0.32,0.23,0.42,0.04,0.21,0.12,0.18,0.74,0.27,0.58,0.26,1.0,0.23,0.79,0.36,0.6,0.57,0.5,0.54,0.56,0.6,0.8,0.57,0.54,0.68,0.02,0.24,0.03,0.61,0.51,0.47,0.43,0.31,0.23,0.19,0.16,0.83,0.11,0.34,0.28,0.41,0.56,0.2,0.63,0.05,0.34,0.5,0.04,0.87,0.55,0.1,0.44,0.0,0.04,0.07,0.16,0.13,0.14,0.37,0.37,0.39,0.37,0.47,0.34,0.4,0.0,0.0,0.21,0.62,0.65,0.77,0.68,0.0418535991687153,0.20467806119340293,0.9767136244268159,0.20748139648515881,0.1882147900484438,0.3685443517441651,0.2391129392690314,0.29709549450729955,0.8727848609074982,0.7572916642387928,0.2705642352233672,0.3198940198598695,0.08655026454494258,0.2951029634509733,0.027480272786970898,0.7372921032911455,0.1620011561053462,0.02,0.56,0.39,0.08787380522923549,0.07231554340177145,0.6230515932102122,0.08107938166410877,0.0,0.07319615350680707,0.02
